,ID,E_Brent,PP,BR,AR,WO,NW,opt_C,opt_I,capex_h,opex_h,produc_h,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
0,0,50,0.5700000000000001,0,1,1,0,1,1,0.9,1,1,0,59053.5998,0,66944.3938,66944.3938,2.921532041743154,85298.3963,0,79089.0532,0.0,6.264762045459336,6.264762045459336,0.0,5.7152215151558865,5.7152215151558865,2052.0,2052.0,4.8522,4.8522,6.5908,6.0126,7908.4081,31629.5488,22084.1493,120675.7059,0,8668.8319,31629.5488,25463.6647,132706.4392,0
1,1,50,0.5700000000000001,0,1,1,0,1,0,0.9,1,1,0,49995.7363,0,56576.4087,56576.4087,3.1007583239159424,68031.3078,0,71702.6502,0.0,5.231203484892807,5.231203484892807,0.0,4.772325986217997,4.772325986217997,2051.0,2051.0,5.0578,5.0578,6.2952,5.743,7067.0804,25218.6508,18803.5473,101085.0147,0,7746.6073,25218.6508,21621.6154,111163.2823,0
2,2,50,0.5700000000000001,0,1,1,0,0,1,0.9,1,1,0,9042.4182,0,10353.5971,10353.5971,2.2185585569041573,17267.0884,0,11575.3781,0.0,1.038755773059546,1.038755773059546,0.0,0.9476368455981827,0.9476368455981827,2061.0,2061.0,3.6999,3.6999,8.0465,7.3407,822.523,6410.898,3308.0389,19583.8781,0,901.6118,6410.898,3869.5818,21535.6887,0
3,3,50,0.5700000000000001,0,1,1,0,0,0,0.9,1,1,0,0,0,0,0,0.0,0,0,4188.9751,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,50,0.5700000000000001,0,1,0,1,1,1,0.9,1,1,0,-5083.7968,0,2186.5472,2186.5472,0.059252279900860766,276392.6894,0,626053.7114,0.0,7.392188354962001,7.392188354962001,0.0,6.743750779965334,6.743750779965334,2041.0,2041.0,15.3001,15.3001,18.099,16.5114,36778.0255,83521.2536,2075.3666,119533.3203,2242.4714,40314.3741,83521.2536,2762.2625,131026.9087,2242.4714
5,5,50,0.5700000000000001,0,1,0,1,1,0,0.9,1,1,0,-2767.2584,0,853.2602,853.2602,0.04522229344441662,130504.1294,0,300256.6281,0.0,3.237788706138001,3.237788706138001,0.0,2.9537721529680003,2.9537721529680003,2039.0,2039.0,14.7794,14.7794,19.5109,17.7994,17118.1406,40895.2339,730.6512,57532.2588,1555.4915,18764.1157,40895.2339,996.1055,63064.2067,1555.4915
6,6,50,0.5700000000000001,0,1,0,1,0,1,0.9,1,1,0,-1892.8025,0,1972.6784,1972.6784,0.07233347852658727,145888.56,0,329986.0584,0.0,4.114199544679001,4.114199544679001,0.0,3.753304847777333,3.753304847777333,2042.0,2042.0,15.1957,15.1957,17.1647,15.659,19184.6433,42626.0198,890.1899,61677.9971,869.9466,21029.3205,42626.0198,1110.6085,67608.5737,869.9466
7,7,50,0.5700000000000001,0,1,0,1,0,0,0.9,1,1,0,0,0,0,0,0.0,0,0,4188.9751,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,50,0.5700000000000001,1,0,1,0,1,1,0.9,1,1,0,78263.6179,0,91686.6487,91686.6487,2.3211917584326582,130097.2873,0,72506.9997,0.0,7.887677302893136,7.887677302893136,0.0,7.195775785095493,7.195775785095493,2072.0,2072.0,4.5401,4.5401,7.984,7.2836,11967.4761,53751.5669,27294.86,171277.5209,0,13118.195,53751.5669,33082.0507,191638.4613,0
9,9,50,0.5700000000000001,1,0,1,0,1,0,0.9,1,1,0,53236.6775,0,62392.682,62392.682,2.2905845098600235,90150.5373,0,53886.9461,0.0,5.47496664159961,5.47496664159961,0.0,4.994706409880345,4.994706409880345,2057.0,2057.0,4.6099,4.6099,7.9705,7.2714,8345.2224,37123.2005,18692.176,117397.2763,0,9147.6476,37123.2005,22640.6868,131304.2169,0
10,10,50,0.5700000000000001,1,0,1,0,0,1,0.9,1,1,0,25086.435,0,29353.5556,29353.5556,2.389729993239734,39946.75,0,22809.0286,0.0,2.394132787441032,2.394132787441032,0.0,2.1841211394198887,2.1841211394198887,2072.0,2072.0,4.0785,4.0785,8.0767,7.3682,3603.0965,16628.3664,8544.1927,53862.0906,0,3949.5481,16628.3664,10382.8747,60314.3448,0
11,11,50,0.5700000000000001,1,0,1,0,0,0,0.9,1,1,0,0,0,0,0,0.0,0,0,4188.9751,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,50,0.5700000000000001,1,0,0,1,1,1,0.9,1,1,0,49047.6448,0,58741.9402,58741.9402,1.426301475309365,131370.1471,0,317528.9028,0.0,6.578529934191001,6.578529934191001,0.0,6.001465904876,6.001465904876,2039.0,2039.0,9.4486,9.4486,9.6665,8.8185,27148.9832,54251.0384,14520.0018,146305.8777,1338.2095,29759.4623,54251.0384,18636.3412,162726.9915,1338.2095
13,13,50,0.5700000000000001,1,0,0,1,1,0,0.9,1,1,0,31391.9697,0,37822.2479,37822.2479,1.3568833687353792,88465.5336,0,214725.3046,0.0,4.206179768336,4.206179768336,0.0,3.8372166307626676,3.8372166307626676,2038.0,2038.0,9.2392,9.2392,10.1809,9.2879,17498.0333,36349.2928,8776.7058,95135.9554,1119.9539,19180.5365,36349.2928,11499.1056,105971.1367,1119.9539
14,14,50,0.5700000000000001,1,0,0,1,0,1,0.9,1,1,0,17673.7191,0,20946.7807,20946.7807,1.563996640368703,42904.6134,0,106992.5733,0.0,2.3495734658400003,2.3495734658400003,0.0,2.14347053024,2.14347053024,2040.0,2040.0,9.485,9.485,8.8393,8.0639,9463.4073,17901.7456,5665.724,50995.5683,290.9724,10373.3503,17901.7456,7051.8871,56564.7361,290.9724
15,15,50,0.5700000000000001,1,0,0,1,0,0,0.9,1,1,0,0,0,0,0,0.0,0,0,4188.9751,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,50,0.5700000000000001,0,1,1,0,1,1,0.9,1,1,0,54626.7501,0,62519.6373,62519.6373,2.2085795920389444,104253.5954,0,79089.0532,0.0,6.264762045459336,6.264762045459336,0.0,5.7152215151558865,5.7152215151558865,2052.0,2052.0,4.8522,4.8522,8.0554,7.3488,7908.4081,38658.3374,19482.2105,120675.7059,0,8668.8319,38658.3374,22859.6326,132706.4392,0
17,17,50,0.5700000000000001,0,1,1,0,1,0,0.9,1,1,0,46474.3056,0,53056.3951,53056.3951,2.355185399073394,83149.3763,0,71702.6502,0.0,5.231203484892807,5.231203484892807,0.0,4.772325986217997,4.772325986217997,2051.0,2051.0,5.0578,5.0578,7.6941,7.0192,7067.0804,30822.7954,16720.8333,101085.0147,0,7746.6073,30822.7954,19537.4844,111163.2823,0
18,18,50,0.5700000000000001,0,1,1,0,0,1,0.9,1,1,0,8132.3426,0,9443.8236,9443.8236,1.6332995038559244,21104.2192,0,11575.3781,0.0,1.038755773059546,1.038755773059546,0.0,0.9476368455981827,0.9476368455981827,2061.0,2061.0,3.6999,3.6999,9.8346,8.9719,822.523,7835.542,2793.4705,19583.8781,0,901.6118,7835.542,3354.7113,21535.6887,0
19,19,50,0.5700000000000001,0,1,1,0,0,0,0.9,1,1,0,0,0,0,0,0.0,0,0,4188.9751,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20,50,0.5700000000000001,0,1,0,1,1,1,0.9,1,1,0,-23357.1342,0,-15745.7582,-15745.7582,0.0,337813.287,0,626053.7114,0.0,7.392188354962001,7.392188354962001,0.0,6.743750779965334,6.743750779965334,2041.0,2041.0,15.3001,15.3001,22.121,20.1805,36778.0255,102081.5322,1290.0984,119533.3203,2740.7983,40314.3741,102081.5322,1635.9623,131026.9087,2740.7983
21,21,50,0.5700000000000001,0,1,0,1,1,0,0.9,1,1,0,-11860.7659,0,-8151.2402,-8151.2402,0.0,159505.047,0,300256.6281,0.0,3.237788706138001,3.237788706138001,0.0,2.9537721529680003,2.9537721529680003,2039.0,2039.0,14.7794,14.7794,23.8466,21.7548,17118.1406,49983.0636,390.6642,57532.2588,1901.1562,18764.1157,49983.0636,567.1114,63064.2067,1901.1562
22,22,50,0.5700000000000001,0,1,0,1,0,1,0.9,1,1,0,-11246.9811,0,-7381.5002,-7381.5002,0.0,178308.24,0,329986.0584,0.0,4.114199544679001,4.114199544679001,0.0,3.753304847777333,3.753304847777333,2042.0,2042.0,15.1957,15.1957,20.9791,19.1388,19184.6433,52098.4686,578.5982,61677.9971,1063.268,21029.3205,52098.4686,799.0167,67608.5737,1063.268
23,23,50,0.5700000000000001,0,1,0,1,0,0,0.9,1,1,0,0,0,0,0,0.0,0,0,4188.9751,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,24,50,0.5700000000000001,1,0,1,0,1,1,0.9,1,1,0,70879.0075,0,84304.5434,84304.5434,1.7173634124440291,159007.7956,0,72506.9997,0.0,7.887677302893136,7.887677302893136,0.0,7.195775785095493,7.195775785095493,2072.0,2072.0,4.5401,4.5401,9.7582,8.9022,11967.4761,65696.3596,22734.6777,171277.5209,0,13118.195,65696.3596,28519.3633,191638.4613,0
25,25,50,0.5700000000000001,1,0,1,0,1,0,0.9,1,1,0,48106.1625,0,57264.2152,57264.2152,1.6922788584306911,110183.99,0,53886.9461,0.0,5.47496664159961,5.47496664159961,0.0,4.994706409880345,4.994706409880345,2057.0,2057.0,4.6099,4.6099,9.7418,8.8872,8345.2224,45372.8006,15573.0908,117397.2763,0,9147.6476,45372.8006,19519.5534,131304.2169,0
26,26,50,0.5700000000000001,1,0,1,0,0,1,0.9,1,1,0,22845.3588,0,27112.9436,27112.9436,1.7733338805451138,48823.8056,0,22809.0286,0.0,2.394132787441032,2.394132787441032,0.0,2.1841211394198887,2.1841211394198887,2072.0,2072.0,4.0785,4.0785,9.8715,9.0056,3603.0965,20323.559,7090.0764,53862.0906,0,3949.5481,20323.559,8928.2942,60314.3448,0
27,27,50,0.5700000000000001,1,0,1,0,0,0,0.9,1,1,0,0,0,0,0,0.0,0,0,4188.9751,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,28,50,0.5700000000000001,1,0,0,1,1,1,0.9,1,1,0,41221.6317,0,50992.7027,50992.7027,0.9806674280447439,160563.5131,0,317528.9028,0.0,6.578529934191001,6.578529934191001,0.0,6.001465904876,6.001465904876,2039.0,2039.0,9.4486,9.4486,11.8146,10.7782,27148.9832,66306.8247,9992.8488,146305.8777,1635.5894,29759.4623,66306.8247,14032.4125,162726.9915,1635.5894
29,29,50,0.5700000000000001,1,0,0,1,1,0,0.9,1,1,0,26117.1528,0,32616.1729,32616.1729,0.9227464000992575,108124.5411,0,214725.3046,0.0,4.206179768336,4.206179768336,0.0,3.8372166307626676,3.8372166307626676,2038.0,2038.0,9.2392,9.2392,12.4433,11.3518,17498.0333,44426.9134,5725.0235,95135.9554,1368.8325,19180.5365,44426.9134,8378.6814,105971.1367,1368.8325
30,30,50,0.5700000000000001,1,0,0,1,0,1,0.9,1,1,0,15108.8751,0,18392.2128,18392.2128,1.0948739326074213,52438.972,0,106992.5733,0.0,2.3495734658400003,2.3495734658400003,0.0,2.14347053024,2.14347053024,2040.0,2040.0,9.485,9.485,10.8035,9.8559,9463.4073,21879.9113,4187.7418,50995.5683,355.6329,10373.3503,21879.9113,5563.6288,56564.7361,355.6329
31,31,50,0.5700000000000001,1,0,0,1,0,0,0.9,1,1,0,0,0,0,0,0.0,0,0,4188.9751,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,32,50,0.5700000000000001,0,1,1,0,1,1,0.9,1,1,0,57354.512,0,65299.1248,65299.1248,2.554163557305816,94775.9959,0,71599.0454,0.0,6.288950531050523,6.288950531050523,0.0,5.737288203765391,5.737288203765391,2053.0,2053.0,4.4971,4.4971,7.2949,6.655,7158.9565,35143.9431,21062.3992,120719.8108,0,7847.3177,35143.9431,24464.3992,132754.7849,0
33,33,50,0.5700000000000001,0,1,1,0,1,0,0.9,1,1,0,48696.4952,0,55324.7076,55324.7076,2.7184355315980793,75590.342,0,64951.2827,0.0,5.252956028114352,5.252956028114352,0.0,4.792170411613092,4.792170411613092,2052.0,2052.0,4.6924,4.6924,6.9657,6.3546,6401.5666,28020.7231,18009.8594,101128.6442,0,7017.1018,28020.7231,20848.5744,111211.1069,0
34,34,50,0.5700000000000001,0,1,1,0,0,1,0.9,1,1,0,8645.9721,0,9962.7271,9962.7271,1.9094508056631214,19185.6538,0,10836.7378,0.0,1.038755773059546,1.038755773059546,0.0,0.9476368455981827,0.9476368455981827,2061.0,2061.0,3.3299,3.3299,8.9405,8.1563,740.2707,7123.22,3074.4153,19583.8781,0,811.4506,7123.22,3638.291,21535.6887,0
35,35,50,0.5700000000000001,0,1,1,0,0,0,0.9,1,1,0,0,0,0,0,0.0,0,0,4188.9751,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,36,50,0.5700000000000001,0,1,0,1,1,1,0.9,1,1,0,-10406.0297,0,-2795.4613,-2795.4613,0.0,307102.9882,0,563867.2378,0.0,7.550540133812002,7.550540133812002,0.0,6.888212051898668,6.888212051898668,2042.0,2042.0,14.2952,14.2952,19.6882,17.9612,33885.325,92801.3929,1811.3063,120357.1171,2265.1226,37143.5293,92801.3929,2515.3333,131929.9168,2265.1226
37,37,50,0.5700000000000001,0,1,0,1,1,0,0.9,1,1,0,-5500.5574,0,-1702.9419,-1702.9419,0.0,145004.5882,0,270649.8628,0.0,3.310608699318001,3.310608699318001,0.0,3.020204427448,3.020204427448,2040.0,2040.0,13.8768,13.8768,21.2019,19.3421,15850.4926,45439.1487,630.3593,57990.6467,1571.2035,17374.5784,45439.1487,884.6817,63566.6704,1571.2035
38,38,50,0.5700000000000001,0,1,0,1,0,1,0.9,1,1,0,-4626.1813,0,-579.0464,-579.0464,0.01026808809664438,162098.4,0,297406.3501,0.0,4.202904741319001,4.202904741319001,0.0,3.8342288868173333,3.8342288868173333,2043.0,2043.0,14.1626,14.1626,18.6694,17.0317,17644.5468,47362.2442,838.1743,62097.5179,878.7339,19341.1378,47362.2442,1065.3635,68068.4331,878.7339
39,39,50,0.5700000000000001,0,1,0,1,0,0,0.9,1,1,0,0,0,0,0,0.0,0,0,4188.9751,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,40,50,0.5700000000000001,1,0,1,0,1,1,0.9,1,1,0,75415.888,0,88919.8094,88919.8094,2.011052886117974,144552.5415,0,65675.1972,0.0,7.887677302893136,7.887677302893136,0.0,7.195775785095493,7.195775785095493,2072.0,2072.0,4.0861,4.0861,8.8711,8.0929,10770.7285,59723.9633,25366.9411,171277.5209,0,11806.3755,59723.9633,31188.3131,191638.4613,0
41,41,50,0.5700000000000001,1,0,1,0,1,0,0.9,1,1,0,51210.2774,0,60422.7639,60422.7639,1.9837185417701038,100167.2636,0,48917.149,0.0,5.492067472320303,5.492067472320303,0.0,5.010307167730803,5.010307167730803,2064.0,2064.0,4.2557,4.2557,8.8286,8.0541,7527.219,41248.0006,17429.2916,117414.7885,0,8250.99,41248.0006,21401.6585,131323.413,0
42,42,50,0.5700000000000001,1,0,1,0,0,1,0.9,1,1,0,24218.9771,0,28510.3847,28510.3847,2.0720820991255517,44385.2778,0,20947.0233,0.0,2.394132787441032,2.394132787441032,0.0,2.1841211394198887,2.1841211394198887,2072.0,2072.0,3.6706,3.6706,8.9741,8.1869,3242.7868,18475.9627,7924.3639,53862.0906,0,3554.5932,18475.9627,9773.4042,60314.3448,0
43,43,50,0.5700000000000001,1,0,1,0,0,0,0.9,1,1,0,0,0,0,0,0.0,0,0,4188.9751,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,44,50,0.5700000000000001,1,0,0,1,1,1,0.9,1,1,0,47063.7917,0,56950.1587,56950.1587,1.232956387768919,145966.8301,0,286194.9101,0.0,6.646224905865,6.646224905865,0.0,6.063222721140001,6.063222721140001,2040.0,2040.0,8.8242,8.8242,10.6311,9.6986,24852.4018,60278.9315,13185.1528,146732.0046,1351.7267,27242.0558,60278.9315,17371.2194,163194.0922,1351.7267
45,45,50,0.5700000000000001,1,0,0,1,1,0,0.9,1,1,0,30036.9733,0,36596.6808,36596.6808,1.1692202539057648,98295.0374,0,193671.6717,0.0,4.255393281531,4.255393281531,0.0,3.8821131691160007,3.8821131691160007,2039.0,2039.0,8.6482,8.6482,11.1813,10.2005,16058.726,40388.1031,7861.6551,95476.724,1131.2665,17602.8343,40388.1031,10625.7868,106344.6715,1131.2665
46,46,50,0.5700000000000001,1,0,0,1,0,1,0.9,1,1,0,17082.8037,0,20421.8618,20421.8618,1.3581313044972965,47671.7927,0,96712.2135,0.0,2.3495734658400003,2.3495734658400003,0.0,2.14347053024,2.14347053024,2040.0,2040.0,8.5365,8.5365,9.8214,8.9599,8517.0665,19890.8284,5181.5671,50995.5683,323.3026,9336.0152,19890.8284,6592.728,56564.7361,323.3026
47,47,50,0.5700000000000001,1,0,0,1,0,0,0.9,1,1,0,0,0,0,0,0.0,0,0,4188.9751,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,48,50,0.5700000000000001,0,1,1,0,1,1,0.9,1,1,0,56334.8061,0,64174.5384,64174.5384,2.5048456151558853,94775.9959,0,86579.061,0.0,6.238536415574824,6.238536415574824,0.0,5.691296379120893,5.691296379120893,2051.0,2051.0,5.1782,5.1782,7.3539,6.7088,8643.4425,35143.9431,20500.9131,120623.1047,0,9474.5427,35143.9431,23855.7559,132648.7801,0
49,49,50,0.5700000000000001,0,1,1,0,1,0,0.9,1,1,0,47781.9021,0,54316.0813,54316.0813,2.6631806462959715,75590.342,0,78454.0177,0.0,5.207693090962189,5.207693090962189,0.0,4.750877907544451,4.750877907544451,2050.0,2050.0,5.3929,5.3929,7.0262,6.4099,7718.5479,28020.7231,17511.9709,101033.1439,0,8460.7159,28020.7231,20308.9036,111106.4239,0
50,50,50,0.5700000000000001,0,1,1,0,0,1,0.9,1,1,0,8544.9366,0,9850.7938,9850.7938,1.884154583233953,19185.6538,0,12314.0184,0.0,1.0326714122095357,1.0326714122095357,0.0,0.9420862006122084,0.9420862006122084,2058.0,2058.0,3.8483,3.8483,8.9932,8.2043,898.8108,7123.22,3011.0716,19578.0389,0,985.2349,7123.22,3570.0393,21529.288,0
51,51,50,0.5700000000000001,0,1,1,0,0,0,0.9,1,1,0,0,0,0,0,0.0,0,0,4188.9751,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,52,50,0.5700000000000001,0,1,0,1,1,1,0.9,1,1,0,-17752.3613,0,-10656.2104,-10656.2104,0.0,307102.9882,0,688240.1851,0.0,7.218477201642002,7.218477201642002,0.0,6.585277447112001,6.585277447112001,2040.0,2040.0,16.1925,16.1925,20.5939,18.7874,39398.0932,92801.3929,1351.3258,118539.2489,2740.7983,43186.3713,92801.3929,1864.9015,129937.2536,2740.7983
53,53,50,0.5700000000000001,0,1,0,1,1,0,0.9,1,1,0,-9007.4213,0,-5524.8017,-5524.8017,0.0,145004.5882,0,329863.3934,0.0,3.157655308198001,3.157655308198001,0.0,2.8806680004613336,2.8806680004613336,2038.0,2038.0,15.5578,15.5578,22.2289,20.279,18232.7827,45439.1487,411.7255,56977.3919,1901.1562,19985.9349,45439.1487,654.5491,62455.9873,1901.1562
